Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2010",,,,,,,,,,,
State,City,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
,Bridger,4,1,0,0,3,6,0,6,0,0
,Colstrip,11,0,0,0,11,25,1,22,2,1
,Columbia Falls,6,0,2,0,4,219,8,207,4,0
,Columbus,5,0,0,0,5,29,5,24,0,0
,Conrad,8,0,0,0,8,37,5,30,2,0
,Cut Bank,16,0,1,1,14,117,14,100,3,1
,Dillon,14,0,0,0,14,47,4,39,4,0
,East Helena,7,0,0,0,7,27,2,24,1,0
,Ennis,0,0,0,0,0,9,4,5,0,0
,Eureka,1,0,0,0,1,17,2,15,0,0
,Fort Benton,4,0,0,0,4,25,2,22,1,0
,Glasgow,7,0,0,1,6,63,10,52,1,0
,Glendive,6,0,0,2,4,153,25,123,5,0
,Great Falls,124,4,6,21,93,"2,776",308,"2,343",125,6
,Hamilton,24,0,3,1,20,201,22,169,10,1
,Havre,56,0,11,2,43,372,29,313,30,0
,Helena,117,0,24,4,89,974,111,827,36,13
,Hot Springs,7,0,1,0,6,6,0,6,0,0
,Joliet,0,0,0,0,0,7,2,2,3,0
,Kalispell,68,1,8,7,52,"1,010",72,899,39,2
,Laurel,8,0,0,0,8,169,22,141,6,0
,Libby,14,0,1,0,13,102,10,90,2,1
,Livingston,21,0,0,0,21,138,23,105,10,3
,Manhattan,1,0,0,0,1,13,5,6,2,0
,Miles City,16,1,2,0,13,205,10,180,15,1
,Plains,1,0,0,1,0,18,3,13,2,1
,Polson,42,1,6,0,35,203,30,162,11,0
,Red Lodge,10,0,0,0,10,67,23,43,1,2
,Ronan City,15,0,2,0,13,94,11,82,1,0
,Sidney,4,0,2,0,2,61,4,48,9,0
,Stevensville,10,0,2,0,8,43,4,37,2,1
,St. Ignatius,4,0,0,0,4,29,2,26,1,0
,Thompson Falls,5,0,0,0,5,23,5,16,2,0
,Three Forks,1,0,0,0,1,10,2,7,1,0
,Troy,6,0,0,0,6,40,2,36,2,0
,West Yellowstone,2,0,0,1,1,4,0,3,1,0
,Whitefish,10,0,3,0,7,196,22,168,6,3
,Wolf Point,20,0,3,1,16,126,36,83,7,1
NEBRASKA,Alliance,16,0,0,1,15,154,31,114,9,0
,Ashland,3,0,0,1,2,8,1,7,0,1
,Auburn,0,0,0,0,0,43,0,41,2,0
,Aurora,1,0,1,0,0,33,14,13,6,0
,Bayard,3,0,0,0,3,8,3,5,0,0
,Beatrice,36,0,8,1,27,484,116,357,11,2
,Bellevue,69,1,19,16,33,"1,345",169,"1,054",122,7
,Bennington,0,0,0,0,0,11,0,11,0,0
,Blair,9,0,7,0,2,125,19,101,5,4
,Bridgeport,0,0,0,0,0,27,5,22,0,0
,Broken Bow,9,0,2,0,7,64,14,48,2,0
,Central City,1,0,0,0,1,51,1,49,1,1
,Chadron,14,0,3,0,11,161,11,140,10,2
,Columbus,27,0,6,5,16,460,60,380,20,0
,Cozad,5,0,2,2,1,44,12,28,4,1
,Crete,8,0,2,1,5,161,30,127,4,1
,Falls City,3,0,0,0,3,68,20,45,3,0
,Fremont,49,0,13,5,31,801,113,662,26,6
,Gering,8,0,0,0,8,198,50,141,7,2
,Gothenburg,5,1,2,1,1,66,11,54,1,0
,Grand Island,168,2,31,22,113,"2,297",373,"1,829",95,12
,Hastings,33,0,15,2,16,746,84,631,31,4
,Holdrege,4,0,1,0,3,112,18,93,1,1
,Imperial,6,0,3,0,3,12,2,9,1,0
,Kearney,62,0,10,3,49,872,112,734,26,13
,La Vista,16,0,5,1,10,272,53,200,19,5
,Lexington,31,2,8,3,18,305,68,221,16,1
,Lincoln,"1,258",2,143,182,931,"10,218","1,464","8,406",348,
,Lyons,2,0,0,0,2,5,2,2,1,0
,Madison,4,0,2,0,2,26,3,20,3,0
,McCook,8,0,5,0,3,195,29,161,5,0
,Milford,1,0,1,0,0,21,2,19,0,1
,Minden,2,0,0,0,2,66,13,53,0,2
,Nebraska City,4,0,2,0,2,137,11,120,6,0
,Norfolk,44,2,23,10,9,706,74,601,31,4
,North Platte,55,0,20,3,32,"1,131",162,918,51,10
,Ogallala,7,0,4,0,3,141,9,126,6,0
,Omaha,"2,263",34,194,723,"1,312","17,334","3,046","12,091","2,197",119
,O'Neill,1,0,0,0,1,5,2,3,0,0
,Papillion,27,0,8,3,16,322,23,283,16,0
,Plainview,1,0,0,0,1,23,4,19,0,0
,Plattsmouth,5,0,4,0,1,133,16,114,3,1
,Ralston,3,0,0,2,1,138,14,115,9,1
,Scottsbluff,35,0,8,5,22,874,138,719,17,2
,Seward,1,0,0,0,1,80,14,64,2,0
,Sidney,3,0,0,0,3,108,23,85,0,1
,South Sioux City,19,0,0,2,17,283,23,246,14,0
,Superior,0,0,0,0,0,8,3,5,0,0
,Valentine,12,1,2,0,9,46,8,33,5,0
,Valley,1,0,0,1,0,40,3,34,3,0
,Wahoo,10,1,0,2,7,44,8,36,0,0
,Wayne,8,0,6,0,2,114,24,88,2,0
,West Point,0,0,0,0,0,6,3,3,0,0
,Wilber,3,0,0,0,3,43,5,37,1,0
,York,5,0,0,2,3,181,30,144,7,0
NEVADA,Boulder City,14,0,1,1,12,120,49,53,18,2
,Carlin,6,0,0,0,6,30,14,16,0,1
,Elko,74,0,14,12,48,698,219,431,48,4
,Fallon,29,0,2,8,19,314,54,256,4,2
,Henderson,543,8,35,189,311,"5,196","1,280","3,406",510,43
,Las Vegas Metropolitan Police Department,"12,648",107,652,"4,003","7,886","43,219","13,824","22,231","7,164",240
,Mesquite,29,0,1,7,21,254,47,189,18,0
,Reno,"1,168",9,46,385,728,"7,468","1,638","5,101",729,29
,Sparks,357,8,35,103,211,"2,761",699,"1,829",233,17
,West Wendover,19,0,8,3,8,120,37,80,3,1
,Winnemucca,12,0,0,2,10,122,29,81,12,1
,Yerington,23,0,0,0,23,31,22,8,1,0
NEW HAMPSHIRE,Alexandria,3,0,1,1,1,34,11,23,0,0
,Alstead,1,0,1,0,0,28,14,11,3,0
,Alton,2,0,0,0,2,80,26,52,2,2
,Amherst,7,1,0,1,5,182,30,148,4,1
,Antrim,3,0,3,0,0,55,11,39,5,1
,Ashland,2,1,0,1,0,52,8,42,2,0
,Auburn,2,2,0,0,0,81,31,49,1,0
,Barnstead,6,0,3,0,3,103,36,62,5,1
,Barrington,10,0,1,0,9,98,21,73,4,4
,Bartlett,2,0,2,0,0,68,24,44,0,0
,Bedford,11,0,5,1,5,324,32,286,6,3
,Belmont,16,0,3,2,11,234,65,159,10,2
,Bennington,2,0,0,0,2,37,0,35,2,0
,Berlin,19,0,8,1,10,148,54,94,0,3
,Bethlehem,4,0,0,1,3,50,19,28,3,0
,Boscawen,3,0,2,0,1,80,13,63,4,0
,Bow,5,0,0,0,5,98,17,80,1,1
,Bradford,0,0,0,0,0,17,4,12,1,1
,Brentwood,0,0,0,0,0,58,13,41,4,0
,Bristol,5,0,2,2,1,81,12,60,9,0
,Campton,7,0,2,0,5,65,15,49,1,1
,Candia,3,0,0,0,3,76,18,55,3,1
,Canterbury,0,0,0,0,0,12,3,8,1,0
,Carroll,1,0,1,0,0,77,7,68,2,0
,Center Harbor,2,0,2,0,0,39,5,33,1,0
,Charlestown,2,0,0,0,2,31,13,17,1,0
,Chester,6,0,1,0,5,34,24,9,1,2
,Claremont,19,0,3,4,12,433,54,364,15,1
,Colebrook,4,0,0,1,3,51,21,29,1,0
,Concord,96,0,17,27,52,"1,225",167,"1,039",19,12
,Conway,24,0,9,3,12,504,92,393,19,4
,Dalton,0,0,0,0,0,23,10,13,0,1
,Danville,4,1,1,0,2,47,9,34,4,1
,Deerfield,7,0,1,0,6,77,26,47,4,0
,Deering,2,0,0,0,2,33,7,26,0,1
,Derry,89,0,4,18,67,816,195,582,39,24
,Dover,33,0,2,15,16,487,58,420,9,2
,Dublin,1,0,1,0,0,19,7,10,2,0
,Dunbarton,4,0,0,2,2,33,13,18,2,0
,Durham,15,0,9,0,6,158,18,135,5,2
,Enfield,3,0,1,1,1,74,31,43,0,3
,Epping,9,0,2,0,7,193,30,162,1,2
,Epsom,5,0,3,0,2,95,11,82,2,0
,Exeter,4,1,1,0,2,130,22,107,1,1
,Farmington,21,0,10,5,6,168,51,106,11,1
,Fitzwilliam,2,0,1,0,1,42,16,22,4,1
,Franconia,1,0,0,0,1,33,4,29,0,0
,Freedom,0,0,0,0,0,16,6,10,0,0
,Fremont,3,0,1,0,2,57,19,35,3,1
,Gilford,15,1,0,1,13,218,24,186,8,0
,Gilmanton,2,0,0,0,2,49,12,34,3,1
,Goffstown,10,0,2,1,7,302,87,210,5,3
,Gorham,1,0,0,0,1,34,2,32,0,0
,Grantham,1,0,0,0,1,9,3,6,0,0
,Greenland,2,0,0,0,2,47,3,41,3,0
,Hampstead,5,0,1,1,3,92,26,63,3,0
,Hampton,18,0,3,4,11,382,53,313,16,2
,Hancock,4,0,0,0,4,12,2,10,0,0
,Hanover,7,0,3,1,3,145,13,131,1,4
,Haverhill,12,0,3,0,9,112,19,89,4,1
,Henniker,4,1,3,0,0,101,15,85,1,3
,Hill,0,0,0,0,0,0,0,0,0,0
,Hillsborough,12,0,3,1,8,117,19,92,6,3
,Hinsdale,8,0,2,1,5,79,10,63,6,0
,Hooksett,13,0,4,5,4,401,79,313,9,2
,Hopkinton,1,0,0,0,1,46,11,34,1,0
,Hudson,29,0,4,2,23,408,76,302,30,9
,Jaffrey,9,0,3,2,4,77,27,47,3,2
,Keene,46,0,11,12,23,808,89,705,14,6
,Kingston,5,0,3,1,1,73,18,49,6,1
,Laconia,65,0,13,8,44,827,143,672,12,4
,Lancaster,0,0,0,0,0,122,18,99,5,1
,Lebanon,29,0,6,3,20,483,41,432,10,10
,Lee,1,0,0,1,0,43,9,32,2,1
,Lincoln,2,0,2,0,0,90,11,78,1,1
,Lisbon,2,0,0,0,2,15,3,12,0,0
,Litchfield,4,0,2,1,1,91,25,65,1,1
,Littleton,10,0,1,0,9,137,27,106,4,1
,Londonderry,29,1,5,3,20,338,78,246,14,6
,Loudon,1,0,1,0,0,145,19,119,7,0
,Madison,3,0,1,0,2,45,14,30,1,0
,Manchester,544,1,62,154,327,"3,754",907,"2,687",160,59
,Marlborough,3,0,0,1,2,36,6,29,1,1
,Meredith,10,1,5,1,3,157,38,112,7,1
,Merrimack,9,0,0,3,6,293,45,238,10,1
,Middleton,0,0,0,0,0,14,7,7,0,0
,Milford,25,0,4,9,12,301,52,235,14,6
,Milton,14,0,4,0,10,113,43,64,6,1
,Mont Vernon,4,0,0,0,4,17,3,12,2,0
,Moultonborough,7,0,0,0,7,87,24,61,2,0
,Nashua,173,1,39,47,86,"2,209",398,"1,744",67,29
,New Boston,4,0,1,0,3,54,19,32,3,0
,Newbury,2,0,1,0,1,19,1,17,1,0
,New Durham,4,0,0,0,4,43,11,30,2,1
,Newfields,1,0,1,0,0,20,5,15,0,0
,New Hampton,4,0,0,0,4,64,21,42,1,0
,Newington,2,0,0,1,1,255,2,253,0,1
,New Ipswich,1,0,0,1,0,51,19,27,5,1
,New London,0,0,0,0,0,44,10,34,0,0
,Newmarket,9,0,1,0,8,33,9,23,1,1
,Newport,10,0,4,2,4,201,31,169,1,2
,Newton,5,0,2,0,3,51,13,37,1,1
,Northfield,5,0,0,0,5,77,16,58,3,0
,North Hampton,5,0,2,0,3,75,18,56,1,1
,Northumberland,4,0,3,0,1,58,19,38,1,1
,Northwood,2,0,0,1,1,91,19,67,5,0
,Nottingham,2,0,1,0,1,55,9,44,2,0
,Orford,0,0,0,0,0,8,0,8,0,0
,Ossipee,5,0,0,1,4,108,15,84,9,1
,Pelham,11,0,2,1,8,176,63,99,14,2
,Pembroke,8,0,2,1,5,98,25,71,2,0
,Peterborough,5,0,2,2,1,118,8,108,2,0
,Pittsfield,5,0,1,1,3,84,11,63,10,0
,Plaistow,4,0,0,3,1,217,13,183,21,0
,Plymouth,12,0,3,2,7,252,43,205,4,6
,Portsmouth,28,1,5,6,16,615,68,523,24,6
,Raymond,10,0,5,2,3,216,31,176,9,0
,Rindge,8,0,1,2,5,70,26,40,4,1
,Rochester,102,0,15,25,62,978,163,794,21,10
,Rollinsford,5,0,1,1,3,33,15,17,1,1
,Rye,4,0,0,0,4,79,3,76,0,0
,Sandown,3,0,2,0,1,53,18,32,3,0
,Sandwich,0,0,0,0,0,50,13,35,2,0
,Seabrook,15,0,2,1,12,301,21,271,9,3
,Somersworth,50,0,5,12,33,546,61,480,5,6
,South Hampton,0,0,0,0,0,2,1,1,0,0
,Strafford,6,0,1,0,5,36,6,29,1,0
,Stratham,3,0,0,2,1,76,8,66,2,1
,Sunapee,1,0,1,0,0,7,1,5,1,0
,Thornton,1,0,0,0,1,18,1,16,1,0
,Tilton,12,0,0,3,9,177,17,152,8,1
,Troy,1,0,1,0,0,30,9,20,1,0
,Wakefield,5,0,2,0,3,128,25,93,10,0
,Walpole,2,0,0,1,1,38,5,29,4,0
,Warner,0,0,0,0,0,10,2,8,0,0
,Washington,0,0,0,0,0,10,5,5,0,0
,Waterville Valley,3,0,1,2,0,60,0,60,0,0
,Weare,4,0,1,0,3,99,17,75,7,1
,Webster,0,0,0,0,0,29,4,25,0,0
,Wilton,2,0,1,0,1,62,12,48,2,2
,Winchester,4,0,0,2,2,121,33,78,10,1
,Windham,5,0,2,0,3,170,39,123,8,0
,Wolfeboro,5,0,2,0,3,108,28,79,1,0
,Woodstock,5,0,2,1,2,29,4,25,0,1
NEW JERSEY,Aberdeen Township,21,0,3,10,8,272,56,208,8,1
,Absecon,26,0,1,19,6,235,50,175,10,1
,Allendale,3,0,1,0,2,60,9,50,1,1
,Allenhurst,3,0,0,2,1,15,3,12,0,0
,Allentown,0,0,0,0,0,18,2,16,0,0
,Alpha,0,0,0,0,0,20,2,18,0,0
,Alpine,1,0,0,0,1,8,4,4,0,0
,Andover Township,2,0,0,1,1,37,9,27,1,0
,Asbury Park,344,3,13,188,140,"1,147",335,753,59,2
,Atlantic City,783,11,27,434,311,"2,969",492,"2,344",133,13
,Atlantic Highlands,5,0,0,1,4,79,12,67,0,0
,Audubon,6,0,0,5,1,268,23,240,5,0
,Audubon Park,5,1,0,0,4,16,4,12,0,0
,Avalon,0,0,0,0,0,313,65,246,2,2
,Avon-by-the-Sea,2,0,0,0,2,73,8,64,1,1
,Barnegat Light,1,0,0,0,1,9,1,8,0,0
,Barnegat Township,33,0,0,5,28,244,77,163,4,5
,Barrington,3,0,0,2,1,85,27,50,8,0
,Bay Head,1,0,0,1,0,85,6,79,0,0
,Bayonne,162,0,5,71,86,885,180,612,93,0
,Beach Haven,3,0,0,0,3,136,18,117,1,0
,Beachwood,9,0,0,4,5,284,45,230,9,1
,Bedminster Township,3,0,2,0,1,45,10,33,2,0
,Belleville,75,0,1,35,39,755,159,466,130,1
,Bellmawr,18,0,0,8,10,315,54,243,18,1
,Belmar,24,0,2,10,12,315,57,252,6,0
,Belvidere,2,0,0,0,2,23,1,22,0,0
,Bergenfield,30,0,1,9,20,107,29,76,2,1
,Berkeley Heights Township,1,0,0,0,1,102,19,80,3,0
,Berkeley Township,38,0,0,14,24,717,154,542,21,10
,Berlin,12,0,0,3,9,207,26,173,8,2
,Berlin Township,11,0,3,1,7,178,17,158,3,2
,Bernards Township,3,0,0,2,1,146,36,102,8,1
,Bernardsville,1,0,0,0,1,38,13,25,0,1
,Beverly,9,0,1,2,6,51,25,25,1,1
,Blairstown Township,3,0,0,0,3,50,17,31,2,0
,Bloomfield,111,0,6,70,35,"1,045",207,707,131,2
,Bloomingdale,5,0,0,1,4,60,11,49,0,0
,Bogota,12,0,1,2,9,72,21,48,3,0
,Boonton,10,0,0,3,7,102,11,88,3,1
,Boonton Township,3,0,1,0,2,23,4,18,1,0
,Bordentown,1,0,1,0,0,72,7,61,4,0
,Bordentown Township,8,0,0,3,5,138,34,99,5,0
,Bound Brook,17,0,2,10,5,240,62,168,10,2
,Bradley Beach,6,0,1,4,1,155,31,121,3,0
,Branchburg Township,7,0,3,1,3,147,22,121,4,1
,Brick Township,104,1,7,26,70,"1,372",333,"1,000",39,16
,Bridgeton,320,4,1,126,189,"1,047",360,637,50,4
,Bridgewater Township,15,0,1,6,8,688,80,591,17,1
,Brielle,1,0,0,0,1,56,16,39,1,0
,Brigantine,11,0,0,3,8,263,69,187,7,1
,Brooklawn,16,0,2,9,5,301,31,260,10,1
,Buena,15,0,1,1,13,88,35,49,4,1
,Burlington,44,1,3,27,13,198,49,137,12,0
,Burlington Township,36,0,6,13,17,355,56,283,16,2
,Butler,15,1,1,4,9,97,33,60,4,0
,Byram Township,3,0,1,1,1,39,14,24,1,0
,Caldwell,3,0,0,0,3,73,16,57,0,0
,Califon,0,0,0,0,0,7,3,4,0,1
,Camden,"1,841",37,73,712,"1,019","3,500","1,015","1,966",519,91
,Cape May,2,0,0,0,2,185,29,156,0,0
,Cape May Point,0,0,0,0,0,13,8,5,0,0
,Carlstadt,19,0,0,5,14,154,16,104,34,0
,Carney's Point Township,9,0,1,7,1,163,33,118,12,1
,Carteret,52,1,3,16,32,399,72,296,31,0
,Cedar Grove Township,9,0,3,3,3,128,30,97,1,2
,Chatham,0,0,0,0,0,72,14,57,1,0
,Chatham Township,0,0,0,0,0,46,15,31,0,0
,Cherry Hill Township,79,0,0,34,45,"2,210",307,"1,833",70,0
,Chesilhurst,5,0,0,3,2,41,22,14,5,1
,Chester,1,0,0,1,0,21,6,15,0,0
,Chesterfield Township,3,0,0,0,3,34,2,31,1,0
,Chester Township,0,0,0,0,0,26,7,19,0,0
,Cinnaminson Township,25,0,4,8,13,373,53,302,18,2
,Clark Township,2,0,0,1,1,206,20,177,9,0
,Clayton,12,0,3,4,5,138,30,103,5,4
,Clementon,16,0,0,8,8,238,70,159,9,0
,Cliffside Park,32,0,0,6,26,221,69,147,5,0
,Clinton,2,0,0,1,1,37,12,25,0,1
,Clinton Township,4,0,0,0,4,66,14,51,1,0
,Closter,2,0,0,1,1,61,12,49,0,0
,Collingswood,36,0,2,22,12,497,136,334,27,2
,Colts Neck Township,4,0,0,1,3,73,26,47,0,1
,Cranbury Township,3,0,0,0,3,39,6,31,2,0
,Cranford Township,10,0,0,5,5,247,50,191,6,1
,Cresskill,1,0,0,0,1,38,15,19,4,0
,Deal,3,0,1,1,1,57,19,35,3,1
,Delanco Township,7,1,2,1,3,125,37,87,1,0
,Delaware Township,0,0,0,0,0,31,8,20,3,0
,Delran Township,17,0,2,7,8,247,39,200,8,1
,Demarest,0,0,0,0,0,36,10,26,0,0
,Denville Township,7,1,0,2,4,157,36,117,4,2
,Deptford Township,105,0,3,46,56,"1,906",270,"1,585",51,2
,Dover,36,0,1,13,22,337,93,222,22,0
,Dumont,11,1,0,2,8,115,14,101,0,0
,Dunellen,12,0,4,4,4,190,51,137,2,1
,Eastampton Township,6,0,0,3,3,109,24,80,5,0
,East Brunswick Township,44,0,4,15,25,833,89,721,23,4
,East Greenwich Township,4,0,0,2,2,154,33,115,6,2
,East Hanover Township,6,0,0,0,6,172,18,148,6,0
,East Newark,3,0,1,0,2,27,10,16,1,0
,East Orange,487,6,31,178,272,"1,367",351,656,360,19
,East Rutherford,14,0,0,3,11,214,33,162,19,2
,East Windsor Township,25,0,2,7,16,339,48,278,13,4
,Eatontown,54,0,4,15,35,602,70,514,18,0
,Edgewater,10,0,1,4,5,205,30,157,18,1
,Edgewater Park Township,29,0,2,17,10,167,43,111,13,0
,Edison Township,141,2,5,52,82,"1,709",334,"1,220",155,11
,Egg Harbor City,20,1,0,6,13,148,51,92,5,0
,Egg Harbor Township,116,1,2,30,83,"1,007",217,758,32,14
,Elizabeth,"1,392",13,42,760,577,"4,734",924,"2,665","1,145",12
,Elk Township,5,0,1,1,3,120,35,80,5,1
,Elmer,0,0,0,0,0,7,3,4,0,0
,Elmwood Park,21,0,0,13,8,382,87,278,17,2
,Elsinboro Township,4,0,1,0,3,16,9,7,0,2
,Emerson,3,0,0,0,3,72,5,67,0,0
,Englewood,64,1,5,15,43,511,177,295,39,1
,Englewood Cliffs,0,0,0,0,0,73,16,55,2,0
,Englishtown,4,0,1,1,2,21,4,17,0,2
,Essex Fells,2,1,0,0,1,7,2,4,1,0
,Evesham Township,41,0,3,19,19,711,99,595,17,12
,Ewing Township,121,2,1,31,87,710,182,466,62,4
,"Fairfield Township, Essex County",15,0,1,7,7,228,37,176,15,1
,Fair Haven,3,0,1,2,0,51,6,45,0,0
,Fair Lawn,27,0,1,9,17,360,58,289,13,9
,Fairview,28,2,1,18,7,175,46,122,7,0
,Fanwood,0,0,0,0,0,90,6,81,3,0
,Far Hills,0,0,0,0,0,9,4,5,0,0
,Fieldsboro,0,0,0,0,0,0,0,0,0,0
,Flemington,7,0,0,1,6,86,12,72,2,0
,Florence Township,17,0,2,4,11,110,39,66,5,0
,Florham Park,2,0,1,1,0,65,7,56,2,0
,Fort Lee,34,0,0,16,18,320,42,262,16,1
,Franklin,6,0,0,1,5,143,11,130,2,0
,Franklin Lakes,4,0,0,1,3,73,23,49,1,0
,"Franklin Township, Gloucester County",22,0,0,10,12,363,139,208,16,1
,"Franklin Township, Hunterdon County",0,0,0,0,0,32,5,26,1,0
,"Franklin Township, Somerset County",64,1,3,32,28,951,239,656,56,5
,Freehold,49,2,2,18,27,275,48,213,14,0
,Freehold Township,37,0,5,14,18,"1,063",97,947,19,3
,Frenchtown,0,0,0,0,0,32,2,28,2,0
,Galloway Township,68,1,1,18,48,708,192,478,38,1
,Garfield,49,1,1,14,33,444,98,303,43,2
,Garwood,6,0,0,5,1,46,8,38,0,0
,Gibbsboro,2,0,0,0,2,64,20,42,2,0
,Glassboro,43,0,0,21,22,405,112,281,12,8
,Glen Ridge,7,0,0,2,5,187,76,103,8,2
,Glen Rock,5,0,0,2,3,102,9,93,0,0
,Gloucester City,29,0,5,14,10,330,82,232,16,3
,Gloucester Township,214,1,7,55,151,"1,655",417,"1,145",93,15
,Green Brook Township,7,0,0,2,5,132,31,98,3,0
,"Greenwich Township, Gloucester County",2,0,0,1,1,111,14,95,2,0
,"Greenwich Township, Warren County",4,0,1,0,3,92,2,90,0,0
,Guttenberg,38,0,0,12,26,96,29,62,5,3
,Hackensack,107,0,6,31,70,"1,073",89,910,74,4
,Hackettstown,7,0,0,0,7,143,16,121,6,0
,Haddonfield,11,0,1,6,4,307,73,230,4,2
,Haddon Heights,6,0,0,1,5,154,35,115,4,1
,Haddon Township,32,0,0,18,14,468,80,377,11,0
,Haledon,17,0,0,13,4,220,86,118,16,0
,Hamburg,7,0,0,0,7,32,9,23,0,0
,"Hamilton Township, Atlantic County",71,4,8,21,38,"1,074",154,888,32,7
,"Hamilton Township, Mercer County",189,2,3,101,83,"1,845",434,"1,315",96,9
,Hammonton,20,1,2,4,13,254,72,175,7,1
,Hanover Township,12,0,1,3,8,134,14,113,7,1
,Harding Township,5,0,1,0,4,14,3,11,0,1
,Hardyston Township,9,0,1,0,8,111,21,88,2,0
,Harrington Park,0,0,0,0,0,8,2,6,0,0
,Harrison,41,0,1,10,30,266,91,137,38,0
,Harrison Township,9,0,2,6,1,184,22,160,2,1
,Harvey Cedars,1,0,0,0,1,15,7,8,0,0
,Hasbrouck Heights,1,0,0,1,0,72,11,60,1,0
,Haworth,0,0,0,0,0,10,2,8,0,0
,Hawthorne,9,0,0,4,5,200,50,135,15,0
,Hazlet Township,10,0,1,4,5,305,27,272,6,1
,Helmetta,2,0,0,0,2,15,5,9,1,0
,High Bridge,10,0,5,0,5,47,13,33,1,0
,Highland Park,17,1,2,6,8,168,35,131,2,0
,Highlands,23,0,0,1,22,63,4,52,7,0
,Hightstown,9,0,0,6,3,73,25,46,2,0
,Hillsborough Township,14,0,2,2,10,270,61,203,6,6
,Hillsdale,1,0,0,0,1,50,5,45,0,0
,Hillside Township,110,0,10,63,37,609,147,322,140,0
,Hi-Nella,1,0,0,0,1,34,9,21,4,0
,Hoboken,131,0,4,35,92,927,166,674,87,1
,Ho-Ho-Kus,0,0,0,0,0,16,4,11,1,0
,Holland Township,1,0,0,0,1,27,2,24,1,0
,Holmdel Township,9,1,0,2,6,274,27,240,7,2
,Hopatcong,7,1,0,1,5,129,30,99,0,0
,Hopewell,1,0,0,0,1,11,4,6,1,0
,Hopewell Township,11,0,0,1,10,101,23,77,1,0
,Howell Township,66,1,5,19,41,757,162,571,24,3
,Independence Township,2,0,0,0,2,35,12,23,0,1
,Interlaken,0,0,0,0,0,11,2,9,0,0
,Irvington,900,14,29,374,483,"2,159",625,852,682,9
,Island Heights,1,0,0,0,1,14,1,13,0,0
,Jackson Township,45,1,2,14,28,710,164,519,27,20
,Jamesburg,8,0,2,3,3,62,17,41,4,1
,Jefferson Township,22,0,2,3,17,202,53,146,3,2
,Jersey City,"1,829",25,44,943,817,"5,992","1,523","3,662",807,51
,Keansburg,42,0,0,10,32,301,62,228,11,6
,Kearny,86,0,3,30,53,895,151,631,113,8
,Kenilworth,7,0,2,2,3,108,16,85,7,0
,Keyport,11,0,0,1,10,69,5,61,3,0
,Kinnelon,1,0,0,0,1,81,17,64,0,0
,Lacey Township,42,0,0,11,31,802,118,668,16,0
,Lake Como,5,0,0,2,3,37,4,31,2,0
,Lakehurst,2,0,0,0,2,42,7,34,1,0
,Lakewood Township,113,4,5,51,53,"1,048",247,746,55,6
,Lambertville,8,0,0,0,8,50,4,44,2,0
,Laurel Springs,4,0,1,3,0,48,9,38,1,0
,Lavallette,3,0,0,0,3,71,26,45,0,0
,Lawnside,23,1,0,11,11,67,9,56,2,0
,"Lawrence Township, Mercer County",41,0,3,19,19,823,93,715,15,9
,Lebanon Township,0,0,0,0,0,31,5,23,3,0
,Leonia,2,0,0,1,1,54,19,33,2,0
,Lincoln Park,2,0,0,0,2,91,27,63,1,0
,Linden,117,2,0,84,31,"1,380",201,"1,034",145,2
,Lindenwold,140,2,6,55,77,657,225,400,32,5
,Linwood,4,0,1,0,3,128,37,87,4,2
,Little Egg Harbor Township,41,2,6,7,26,423,62,351,10,11
,Little Falls Township,17,0,1,3,13,185,33,137,15,1
,Little Ferry,7,0,0,1,6,118,31,74,13,0
,Little Silver,0,0,0,0,0,79,22,57,0,0
,Livingston Township,12,0,0,7,5,386,46,329,11,0
,Loch Arbour,1,0,0,0,1,13,4,9,0,0
,Lodi,30,0,0,11,19,320,69,227,24,0
,Logan Township,13,0,1,5,7,154,32,117,5,0
,Long Beach Township,5,0,0,0,5,124,18,106,0,0
,Long Branch,112,1,5,47,59,820,224,565,31,1
,Long Hill Township,3,0,0,2,1,67,15,50,2,1
,Longport,0,0,0,0,0,21,1,20,0,0
,Lopatcong Township,5,0,0,1,4,94,13,80,1,0
,Lower Alloways Creek Township,1,0,0,1,0,12,6,5,1,0
,Lower Township,17,0,2,4,11,464,113,336,15,0
,Lumberton Township,19,0,1,8,10,284,44,237,3,9
,Lyndhurst Township,11,0,1,2,8,307,59,233,15,1
,Madison,5,0,2,0,3,118,35,83,0,0
,Magnolia,26,0,0,6,20,109,27,73,9,0
,Mahwah Township,3,0,0,1,2,106,7,87,12,0
,Manalapan Township,19,0,0,12,7,386,93,281,12,1
,Manasquan,4,0,0,1,3,167,31,136,0,2
,Manchester Township,24,0,1,2,21,459,140,310,9,7
,"Mansfield Township, Burlington County",2,0,1,1,0,119,13,105,1,1
,"Mansfield Township, Warren County",7,0,1,1,5,133,25,107,1,1
,Mantoloking,0,0,0,0,0,36,3,33,0,0
,Mantua Township,12,0,3,4,5,278,54,223,1,2
,Manville,13,0,0,6,7,215,14,173,28,1
,Maple Shade Township,27,0,2,10,15,424,102,287,35,2
,Maplewood Township,58,2,1,32,23,443,106,300,37,2
