,main,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
91,1007672,1007672,1013255.0,1007577.0,1007592.0,1013675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1007673,1013634,1007673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1007676,1012812,1007676.0,1013645.0,1012987.0,1012988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1007898,1013553,1007898.0,1009280.0,1013010.0,1010842.0,1013628.0,1013330.0,1014334.0,1014332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1007899,1013867,1014269.0,1007515.0,1007339.0,1010583.0,1007899.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1008002,1007419,1013554.0,1013811.0,1007542.0,1013922.0,1007398.0,1013919.0,1013540.0,1014323.0,1008002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1009280,1013553,1007898.0,1009280.0,1007584.0,1010842.0,1013010.0,1013628.0,1013330.0,1014334.0,1014332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1009296,1014605,1010578.0,1013714.0,1009296.0,1007344.0,1007428.0,1014612.0,1013601.0,1013679.0,1007425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1009313,1014541,1014349.0,1013693.0,1009313.0,1014031.0,1007422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1009426,1014072,1007597.0,1014608.0,1007352.0,1012810.0,1013905.0,1009426.0,1013681.0,1012699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1009714,1014389,1014418.0,1010575.0,1010573.0,1010581.0,1009714.0,1009715.0,1014409.0,1014390.0,1010572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1010422,1010919,1013802.0,1013716.0,1007348.0,1011307.0,1010422.0,1010908.0,1007538.0,1013452.0,1013451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1010427,1012547,1013802.0,1014448.0,1013731.0,1013880.0,1013751.0,1007617.0,1013241.0,1013425.0,1013717.0,1010427,1013721,1012984,1013500,1013459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1010917,1014007,1014538.0,1007426.0,1007543.0,1007601.0,1010917.0,1011308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1010919,1010919,1013802.0,1013880.0,1013241.0,1007348.0,1013425.0,1013717.0,1010908.0,1013721.0,1010422.0,1013451,1013500,1013459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1011301,1010845,1010846.0,1013913.0,1011301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1011310,1007590,1007520.0,1007555.0,1023609.0,1013703.0,1013387.0,1011310.0,1013748.0,1007539.0,1013220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1012004,1011303,1014277.0,1014276.0,1014138.0,1011302.0,1011304.0,1007573.0,1014295.0,1012004.0,1011313.0,1011309,1012991,1007429,1007630,1013804,1013595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1012433,1012433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1012548,1013758,1014534.0,1013279.0,1012548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1012550,1012550,1009553.0,1013545.0,1012701.0,1013888.0,1013004.0,1013271.0,1013252.0,1014270.0,1014112.0,1013555,1013003,1012831,1014152,1013904,1007557.0,1013886.0,1014033.0,1013883.0,1014114.0,1014048.0,1014539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1012800,1012800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
