,Project_code,Unsuitable,Suitable,Bridge_classification,Crossing,Days_per_year_river_is_flooded,River_crossing_injuries_in_last_3_years,Cell_service_quality,4WD_Accessibility,Bridge_Type,Proposed_Bridge_Location(GPS)(Latitude),Proposed_Bridge_Location(GPS)(Longitude),Height_differential_between_banks,Estimated_span(m)
1417,1014542,0.820349596802096,0.17965040319790399,Standard,timber,30.0,0.0,Good,Never,Suspension,-1.99723,30.24595,0.2,30.0
1418,1014543,0.7598003026175937,0.24019969738240632,Standard,none,14.0,0.0,Fair,Never,Suspension,-2.04377,30.29442,0.6,30.0
1419,1014550,0.8336460747036407,0.16635392529635926,Requires additional engineering,timber,0.0,0.0,unknown,unknown,Other,-1.989435,30.055679,10.0,13.0
1420,1014551,0.8336536892520957,0.1663463107479042,Standard,timber,0.0,1.0,Good,Year Round,Suspended,-1.995001,30.061769,10.0,31.0
1421,1014552,0.8807304135342332,0.1192695864657668,Requires additional engineering,none,0.0,0.0,Good,Never,Suspended,-2.003541,30.055354,10.0,54.0
1422,1014553,0.8336823272948682,0.16631767270513168,Requires additional engineering,timber,30.0,0.0,Good,Year Round,Suspension,-1.970697,30.067016,10.0,30.0
1423,1014557,0.735833272305192,0.264166727694808,unknown,unknown,0.0,0.0,Nonexistent,Seasonally,unknown,-2.06377,30.40876,10.0,44.0
1424,1014558,0.7832865118297826,0.21671348817021732,unknown,unknown,0.0,0.0,Good,Year Round,unknown,-2.04879,30.42496,10.0,44.0
1425,1014559,0.5881785694253681,0.411821430574632,Standard,timber,224.0,0.0,Good,Seasonally,Suspension,-2.04417,30.42529,10.0,32.0
1426,1014560,0.21636671709850114,0.7836332829014988,unknown,unknown,46.0,0.0,Fair,unknown,unknown,-1.90335,30.39168,10.0,44.0
1427,1014561,0.6365496611552324,0.3634503388447676,Standard,timber,60.0,0.0,Good,Seasonally,Suspension,-2.10599,30.37534,10.0,34.0
1428,1014562,0.17509819600401735,0.8249018039959826,Standard,concrete,84.0,0.0,Fair,Seasonally,Suspension,-1.90335,30.39168,10.0,30.0
1429,1014563,0.3158806535187267,0.6841193464812733,Standard,none,300.0,0.0,Fair,Seasonally,Suspension,-1.93773,30.37988,10.0,30.0
1430,1014564,0.21636671709850117,0.7836332829014988,unknown,unknown,46.0,0.0,Fair,Seasonally,unknown,-1.92899,30.36272,10.0,44.0
1431,1014565,0.6999686585484995,0.30003134145150046,Standard,timber,0.0,0.0,Good,Year Round,Suspension,-1.971782,30.063077,10.0,61.0
